,0
1036.B.N.7.1.s.4.1.sequences,125290.0
1036.A.C.0.2.s.4.1.sequences,91639.0
1036.B.C.14.1.s.4.1.sequences,91212.0
1036.A.Ac.2.2.s.4.1.sequences.r,89016.0
1036.A.C.2.1.s.4.1.sequences,88775.0
1036.B.C.21.1.s.4.1.sequences,88560.0
1036.B.C.0.1.s.4.1.sequences,88345.0
1036.A.C.2.2.s.4.1.sequences.r,88172.0
1036.P.N.14.1.s.4.1.sequences,87174.0
1036.P.C.7.2.s.4.1.sequences,85683.0
1036.B.C.2.1.s.4.1.sequences,84262.0
1036.A.Ac.2.1.s.4.1.sequences.r,84024.0
1036.B.N.14.1.s.4.1.sequences,82915.0
1036.P.Ac.7.1.s.4.1.sequences,82555.0
1036.A.Ac.2.1.s.4.1.sequences,82487.0
1036.B.Ac.7.1.s.4.1.sequences,82396.0
1036.P.C.7.1.s.4.1.sequences,81262.0
1036.P.C.14.1.s.4.1.sequences,80910.0
1036.P.C.14.2.s.4.1.sequences,80297.0
1036.B.C.0.2.s.4.1.sequences,79970.0
1036.A.C.0.1.s.4.1.sequences,79874.0
1036.P.C.0.2.s.4.1.sequences,79684.0
1036.B.C.7.2.s.4.1.sequences,78737.0
1036.P.Ac.21.2.s.4.1.sequences,78380.0
1036.P.N.14.2.s.4.1.sequences,77454.0
1036.P.Ac.21.1.s.4.1.sequences,77291.0
1036.A.Ac.2.2.s.4.1.sequences,77245.0
1036.A.C.2.2.s.4.1.sequences,77135.0
1036.P.N.21.2.s.4.1.sequences,76839.0
1036.A.C.2.1.s.4.1.sequences.r,76726.0
1036.P.N.7.2.s.4.1.sequences,76603.0
1036.B.N.14.2.s.4.1.sequences,76162.0
1036.P.Ac.2.1.s.4.1.sequences,76147.0
1036.B.N.21.2.s.4.1.sequences,76120.0
1036.P.C.21.1.s.4.1.sequences,75878.0
1036.A.N.7.1.s.4.1.sequences,75451.0
1036.B.Ac.14.2.s.4.1.sequences,75414.0
1036.B.Ac.14.1.s.4.1.sequences,74533.0
1036.A.V.2.1.s.4.1.sequences,73946.0
1036.A.V.2.2.s.4.1.sequences,72456.0
1036.P.Ac.2.2.s.4.1.sequences,71957.0
1036.B.C.14.2.s.4.1.sequences,71471.0
1036.P.C.0.1.s.4.1.sequences,71162.0
1036.B.N.2.2.s.4.1.sequences,71145.0
1036.P.N.21.1.s.4.1.sequences,70061.0
1036.A.N.2.1.s.4.1.sequences,70039.0
1036.B.C.7.1.s.4.1.sequences,69876.0
1036.P.C.21.2.s.4.1.sequences,69649.0
1036.P.C.2.2.s.4.1.sequences,68091.0
1036.A.N.7.2.s.4.1.sequences,67962.0
1036.B.Ac.21.1.s.4.1.sequences,67557.0
1036.B.N.7.2.s.4.1.sequences,65448.0
1036.P.Ac.7.2.s.4.1.sequences,65392.0
1036.B.Ac.2.1.s.4.1.sequences,64350.0
1036.B.N.2.1.s.4.1.sequences,64290.0
1036.B.Ac.7.2.s.4.1.sequences,63556.0
1036.B.N.21.1.s.4.1.sequences,62984.0
1036.A.N.2.2.s.4.1.sequences,60742.0
1036.B.Ac.2.2.s.4.1.sequences,59717.0
1036.B.C.2.2.s.4.1.sequences,59046.0
1036.P.N.2.1.s.4.1.sequences,57011.0
1036.P.C.2.1.s.4.1.sequences,55805.0
1036.P.Ac.14.1.s.4.1.sequences,53840.0
1036.P.N.7.1.s.4.1.sequences,53508.0
1036.P.Ac.14.2.s.4.1.sequences,50432.0
1036.P.N.2.2.s.4.1.sequences,33068.0
